e1x,e2x,e1y,e2y,dist_eyes,nx,ny,nx+nw,ny+nh,nose_size,mx,my,mx+mw,my+mh,mouth_size
69,33,37,39,36.05551275,33,52,71,84,1216,40,83,66,99,416
22,65,39,38,43.01162634,28,59,68,92,1320,24,73,65,97,984
29,71,40,40,42,33,58,69,88,1080,24,73,65,97,984
27,70,38,40,43.0464865,31,56,70,88,1248,24,73,65,97,984
26,71,38,38,45,32,55,70,87,1216,24,73,65,97,984
67,33,38,31,34.71310992,25,43,64,75,1248,24,73,65,97,984
25,69,39,39,44,30,56,68,88,1216,24,73,65,97,984
26,70,37,38,44.01136217,32,55,71,87,1248,28,69,66,92,874
67,33,38,31,34.71310992,25,45,63,77,1216,19,63,78,98,2065
71,30,36,32,41.19465985,30,47,66,77,1080,28,79,60,98,608
72,31,39,40,41.01219331,31,56,70,88,1248,26,66,74,95,1392
72,31,39,40,41.01219331,31,56,70,88,1248,34,79,65,97,558
27,70,38,37,43.01162634,31,57,69,88,1178,25,65,76,95,1530
29,67,37,42,38.32753579,23,52,63,86,1360,25,65,76,95,1530
69,27,36,33,42.10700654,24,53,67,89,1548,25,65,76,95,1530
69,27,36,33,42.10700654,34,55,72,86,1178,26,66,73,94,1316
69,27,36,33,42.10700654,27,50,65,82,1216,24,81,53,98,493
25,69,37,36,44.01136217,33,56,70,87,1147,28,69,65,91,814
25,72,36,33,47.09564736,33,56,70,87,1147,25,63,82,97,1938
71,25,36,37,46.01086828,34,58,73,90,1248,25,62,83,96,1972
24,71,36,35,47.01063709,34,58,73,90,1248,27,69,67,93,960
66,22,32,37,44.28317965,31,56,64,83,891,26,78,60,98,680
33,67,36,43,34.71310992,26,50,61,79,1015,26,78,60,98,680
33,64,35,36,31.01612484,32,50,67,79,1015,33,77,65,96,608
29,69,34,34,40,28,48,65,79,1147,29,80,59,98,540
67,30,35,36,37.01351105,29,48,63,76,952,26,73,66,97,960
29,66,36,35,37.01351105,28,48,63,77,1015,26,73,66,97,960
65,28,35,37,37.05401463,27,48,61,77,986,25,75,63,98,874
65,28,35,36,37.01351105,26,48,61,77,1015,25,75,63,98,874
66,27,36,36,39,27,48,62,77,1015,25,75,63,98,874
65,27,35,35,38,26,46,60,75,986,25,75,63,98,874
29,67,35,35,38,28,47,63,76,1015,25,75,63,98,874
27,65,35,35,38,27,47,62,76,1015,25,75,63,98,874
27,66,39,36,39.11521443,28,49,62,77,952,32,79,64,98,608
32,65,35,36,33.01514804,30,50,68,81,1178,32,77,64,96,608
26,66,37,34,40.11234224,28,48,63,77,1015,30,78,64,98,680
